Word,Frequency,Ignore,Count,Coverage
sunder,365,Yes,628746,82.3%
laboratories,364,,629110,82.4%
jewellers,362,,629472,82.4%
depot,356,,629828,82.5%
textile,354,,630182,82.5%
phoenix,351,,630533,82.6%
mary,350,Yes,630883,82.6%
metals,350,,631233,82.7%
garments,349,,631582,82.7%
entertainment,349,,631931,82.8%
packaging,349,,632280,82.8%
yes,347,,632627,82.8%
micro,345,,632972,82.9%
computers,344,,633316,82.9%
rana,339,Yes,633655,83.0%
medical,338,,633993,83.0%
swami,338,Yes,634331,83.1%
ratan,335,Yes,634666,83.1%
arc,333,,634999,83.2%
loan,332,Yes,635331,83.2%
organics,329,,635660,83.2%
publications,329,,635989,83.3%
star,324,,636313,83.3%
world,323,,636636,83.4%
paras,323,Yes,636959,83.4%
health,320,,637279,83.5%
group,320,,637599,83.5%
scotland,320,,637919,83.5%
chit,318,Yes,638237,83.6%
punjabi,314,Yes,638551,83.6%
alias,310,Yes,638861,83.7%
union,308,,639169,83.7%
cargo,304,,639473,83.7%
management,299,,639772,83.8%
paul,298,Yes,640070,83.8%
clothing,296,,640366,83.9%
sheikh,292,Yes,640658,83.9%
cards,291,,640949,83.9%
investments,290,,641239,84.0%
system,290,,641529,84.0%
movers,289,,641818,84.1%
trust,288,,642106,84.1%
apparels,285,,642391,84.1%
export,280,,642671,84.2%
food,279,,642950,84.2%
sunny,279,Yes,643229,84.2%
collection,278,,643507,84.3%
tubes,277,,643784,84.3%
hospital,277,,644061,84.3%
innovative,276,,644337,84.4%
classic,275,,644612,84.4%
greater,275,,644887,84.5%
seth,274,Yes,645161,84.5%
cap,273,,645434,84.5%
creations,272,,645706,84.6%
alloys,272,,645978,84.6%
thomas,272,Yes,646250,84.6%
monarch,271,,646521,84.7%
lakshmi,269,Yes,646790,84.7%
travel,268,,647058,84.7%
hospitality,267,,647325,84.8%
communication,265,,647590,84.8%
payments,262,,647852,84.8%
urban,260,,648112,84.9%
freight,260,,648372,84.9%
technology,257,,648629,84.9%
rani,257,Yes,648886,85.0%
street,257,,649143,85.0%
synthetics,254,,649397,85.0%
milan,251,Yes,649648,85.1%
network,251,,649899,85.1%
plastics,251,,650150,85.1%
glass,250,,650400,85.2%
foundation,248,,650648,85.2%
art,247,,650895,85.2%
super,247,,651142,85.3%
drugs,246,,651388,85.3%
george,244,Yes,651632,85.3%
store,242,,651874,85.4%
appliances,242,,652116,85.4%
ceramics,239,,652355,85.4%
remedies,236,,652591,85.5%
hotel,234,,652825,85.5%
school,231,,653056,85.5%
white,228,,653284,85.6%
brothers,228,,653512,85.6%
lifestyle,228,,653740,85.6%
mulla,227,Yes,653967,85.6%
air,226,,654193,85.7%
print,224,,654417,85.7%
ventures,223,,654640,85.7%
durga,223,Yes,654863,85.8%
consultancy,221,,655084,85.8%
realtors,221,,655305,85.8%
marine,219,,655524,85.8%
uma,218,Yes,655742,85.9%
estate,217,,655959,85.9%
tools,217,,656176,85.9%
haji,217,Yes,656393,86.0%
amir,214,Yes,656607,86.0%
carriers,214,,656821,86.0%
deep,213,,657034,86.0%
hardware,212,,657246,86.1%
energy,212,,657458,86.1%
operative,210,,657668,86.1%
wall,210,,657878,86.2%
plastic,210,,658088,86.2%
equipments,209,,658297,86.2%
peter,207,Yes,658504,86.2%
real,206,,658710,86.3%
research,206,,658916,86.3%
automobiles,206,,659122,86.3%
lad,203,Yes,659325,86.3%
sun,202,,659527,86.4%
hotels,202,,659729,86.4%
bell,201,,659930,86.4%
electric,200,,660130,86.5%
blue,196,,660326,86.5%
surya,196,Yes,660522,86.5%
macleods,196,,660718,86.5%
division,196,,660914,86.6%
arts,194,,661108,86.6%
firm,194,,661302,86.6%
toys,192,,661494,86.6%
processors,192,,661686,86.7%
supreme,191,,661877,86.7%
harsh,191,Yes,662068,86.7%
shiva,190,Yes,662258,86.7%
integrated,189,,662447,86.8%
digital,189,,662636,86.8%
seamless,189,,662825,86.8%
inc,185,,663010,86.8%
communications,184,,663194,86.9%
united,183,,663377,86.9%
nandu,182,Yes,663559,86.9%
corner,182,,663741,86.9%
sarees,180,,663921,86.9%
high,179,,664100,87.0%
gold,178,,664278,87.0%
mart,178,,664456,87.0%
mobile,178,,664634,87.0%
universal,177,,664811,87.1%
unique,175,,664986,87.1%
stock,175,,665161,87.1%
great,174,,665335,87.1%
pavan,174,Yes,665509,87.2%
district,173,,665682,87.2%
sing,173,,665855,87.2%
gems,173,,666028,87.2%
commodities,172,,666200,87.2%
hanuman,172,Yes,666372,87.3%
islam,170,Yes,666542,87.3%
earth,170,,666712,87.3%
education,169,,666881,87.3%
viral,169,Yes,667050,87.4%
hindustan,165,,667215,87.4%
asian,164,,667379,87.4%
kas,164,,667543,87.4%
green,162,,667705,87.4%
diagnostics,162,,667867,87.5%
vision,159,,668026,87.5%
jewellery,159,,668185,87.5%
wise,159,,668344,87.5%
primus,159,,668503,87.5%
consultants,157,,668660,87.6%
market,156,,668816,87.6%
greaves,156,,668972,87.6%
allied,156,,669128,87.6%
imaging,155,,669283,87.6%
dairy,155,,669438,87.7%
hosiery,155,,669593,87.7%
newspapers,155,,669748,87.7%
maya,154,Yes,669902,87.7%
equipment,153,,670055,87.8%
aluminium,153,,670208,87.8%
farm,152,,670360,87.8%
ray,152,,670512,87.8%
science,152,,670664,87.8%
prints,151,,670815,87.8%
electrical,151,,670966,87.9%
dye,150,,671116,87.9%
dharma,148,Yes,671264,87.9%
sham,148,Yes,671412,87.9%
panda,148,Yes,671560,87.9%
orbit,147,,671707,88.0%
associated,147,,671854,88.0%
holdings,147,,672001,88.0%
fab,146,,672147,88.0%
speciality,145,,672292,88.0%
brokers,145,,672437,88.1%
roadways,144,,672581,88.1%
design,143,,672724,88.1%
anis,143,Yes,672867,88.1%
jewels,142,,673009,88.1%
creative,141,,673150,88.2%
legal,141,,673291,88.2%
premier,140,,673431,88.2%
sable,140,Yes,673571,88.2%
pharmaceutical,140,,673711,88.2%
guru,140,Yes,673851,88.2%
pack,139,,673990,88.3%
pinto,139,Yes,674129,88.3%
labs,138,,674267,88.3%
publication,137,,674404,88.3%
asia,136,,674540,88.3%
sen,136,Yes,674676,88.4%
manufacturing,135,,674811,88.4%
bane,135,Yes,674946,88.4%
techno,135,,675081,88.4%
graphics,134,,675215,88.4%
johnson,134,Yes,675349,88.4%
veer,134,,675483,88.5%
stone,134,,675617,88.5%
biotech,133,,675750,88.5%
wear,133,,675883,88.5%
begum,133,Yes,676016,88.5%
jena,132,Yes,676148,88.5%
ambit,132,,676280,88.6%
salian,132,Yes,676412,88.6%
kartik,132,Yes,676544,88.6%
prince,132,Yes,676676,88.6%
marshal,132,Yes,676808,88.6%
restaurant,132,,676940,88.7%
papers,131,,677071,88.7%
fine,131,,677202,88.7%
pasha,131,Yes,677333,88.7%
educational,131,,677464,88.7%
timber,130,,677594,88.7%
